Criterion:,RSS
Dimension:,n=16,p=30
Criterion,Score
RSS(k=2),1013.111
ES2,9.5632
D-Optimal(k=2),0.98052
A-Optimal(k=2),1.0455
+,+,-,-,+,+,-,-,+,-,+,-,-,+,+,+,+,+,+,-,+,+,-,-,-,-,+,+,+,-
+,+,-,+,+,-,-,-,+,+,-,-,-,-,-,+,+,+,-,+,-,-,+,+,-,+,+,+,-,+
-,+,-,-,-,+,+,+,-,+,+,+,+,+,-,+,-,-,-,+,-,+,-,+,-,+,+,+,+,-
-,+,+,+,-,+,+,-,+,-,-,-,+,-,-,-,+,+,-,-,-,+,-,-,+,+,-,-,+,-
+,-,+,-,-,+,-,-,-,+,+,+,+,-,-,+,-,+,+,+,+,+,+,-,+,+,-,+,-,+
+,-,-,+,+,+,+,+,+,-,+,+,+,+,+,-,+,+,-,+,-,-,-,+,+,-,-,+,-,+
-,+,+,+,-,-,-,+,+,-,+,+,-,+,+,-,-,+,+,-,+,+,+,+,-,+,+,-,-,+
-,+,+,-,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,+,+,-,-,+,-,+
-,-,-,+,+,+,+,+,-,+,-,-,-,+,-,+,+,-,+,-,+,-,-,-,+,+,+,-,-,+
+,-,+,+,+,-,+,+,-,-,+,+,-,-,-,-,+,-,+,+,-,+,+,-,+,-,+,-,+,-
-,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-
+,+,+,-,-,-,+,+,-,+,-,-,-,+,+,+,-,+,+,-,-,-,+,+,+,-,-,+,+,-
+,-,+,+,-,-,-,-,+,+,-,+,+,+,+,+,-,-,-,+,+,-,-,-,+,+,+,-,+,-
+,+,-,-,-,+,+,+,-,-,-,-,+,-,+,-,-,-,-,+,+,-,+,-,-,-,+,-,-,+
-,-,+,-,+,+,-,+,+,+,-,+,+,-,+,+,+,-,+,-,-,+,+,+,-,-,-,-,+,+
-,-,-,+,+,-,+,-,+,-,+,-,+,-,-,-,-,-,+,-,+,-,+,+,-,+,-,+,+,-
